Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
The New York Times,2013: The Year In Pictures,http://www.nytimes.com/projects/2013/year-in-pictures/,12/24/2013,"interactive feature, slide show",Opinion,,,national,,,
The New York Times,2014 Holiday Gift Guide,http://www.nytimes.com/interactive/2014/multimedia/2014-holiday-gift-guide.html,2014,interactive feature,,,"Jacky Myint, R. Smith, Alicia DeSantis",national,,,
The New York Times,"2014: The Year in Interactive Storytelling,
Graphics and Multimedia",http://www.nytimes.com/interactive/2014/12/29/us/year-in-interactive-storytelling.html,12/29/2014,interactive feature,,,,national,,,
The New York Times,2015 Holiday Gift Ideas and Guide,http://www.nytimes.com/interactive/2015/multimedia/2015-holiday-gift-guide-style.html,2015,interactive feature,Style,,"Alicia DeSantis, Aviva Michaelov, Jacky Myint",national,,,
The New York Times,28 Months on Mars,http://www.nytimes.com/interactive/2014/12/09/science/space/curiosity-rover-28-months-on-mars.html,12/8/2014,"interactive feature, interactive map, video, static map",Science,,"Mike Bostock, Shan Carter, Jonathan Corum, Jeremy White",national,D3.js,,
The New York Times,30 Years of the Space Shuttle,http://www.nytimes.com/interactive/science/space/0705-shuttle-30-years.html,,,Science,,"Jonathan Corum, Frank O'Connell",national,,,
The New York Times,31 Steps to a Financial Tuneup,http://www.nytimes.com/interactive/2010/03/24/your-money/financial-tuneup-checklist.html?ref=moneythroughtheages,,,Business,,"Zach Wise, Ron Lieber, Tanzina Vega",national,,,
The New York Times,32 Innovations That Will Change Your Tomorrow,http://www.nytimes.com/interactive/2012/06/03/magazine/innovations-issue.html?hp,6/1/2012,interactive feature,Magazine,,"Heena Ko, Jacky Myint, Sara Cwynar, Samantha Henig",national,,,
The New York Times,"342,000 Swings Later, Derek Jeter Calls It a Career",http://www.nytimes.com/interactive/2014/09/14/sports/baseball/jeter-swings.html,9/14/2014,interactive graphic,Sports,,"Shan Carter, Joe Ward",national,D3.js,,
The New York Times,36 Questions on the Way to Love,http://www.nytimes.com/interactive/projects/modern-love/36-questions,2/13/2015,interactive feature,Styles,,"Alastair Coote, Rumsey Taylor",national,,,
The New York Times,360 Degrees at the Inauguration,http://www.nytimes.com/interactive/2013/01/21/us/politics/inauguration-360-pano.html,1/21/2013,panorama,Politics,Inauguration - 2012,"Chang W. Lee, Jon Huang, Raymond Mccrea Jones",national,,,
The New York Times,4:09:43: A Moment From the Boston Marathon,http://www.nytimes.com/interactive/2013/04/22/sports/boston-moment.html,4/22/2013,"interactive feature, audio",Sports,Boston Marathon Bombing,"Amanda Cox, Catrin Einhorn, Becky Hanger, Jon Huang, Sheelagh Mcneill, Ashwin Seshagiri, Samantha Storey, Jack Styczynski, Daniel Victor, Joe Ward, Amy Zerba",national,,,
The New York Times,4th Down: When to Go for It and Why,http://www.nytimes.com/2014/09/05/upshot/4th-down-when-to-go-for-it-and-why.html,9/4/2014,interactive graphic,The Upshot,,"Brian Burke, Shan Carter, Jennifer Daniel, Tom Giratikanon,Kevin Quealy, Jeremy Bowers, David Leonhardt, Ken Schwencke",national,D3.js,,
The New York Times,50 Slices of Wealth,http://www.nytimes.com/interactive/2012/04/08/business/executive-compensation-2012.html?ref=multimedia,,,Business,,"Lisa Waananen, Seth Feaster, Alan Mclean",national,,,
The New York Times,50 Years Since Sputnik,http://www.nytimes.com/interactive/2007/09/24/science/space/20070924_SPUTNIK_GRAPHIC.html?#tab1,9/24/2007,,Science,,"Matthew Bloch, Jonathan Corum, Frank O'Connell, Graham Roberts",national,,,
The New York Times,512 Paths to the White House,http://www.nytimes.com/interactive/2012/11/02/us/politics/paths-to-the-white-house.html,11/2/2012,interactive feature,Politics - Election 2012,,"Shan Carter, Mike Bostock",national,,http://source.mozillaopennews.org/en-US/articles/nyts-512-paths-white-house/,
The New York Times,52 Places to Go in 2014,http://www.nytimes.com/interactive/2014/01/10/travel/2014-places-to-go.html,1/10/2014,"interactive feature, video, map, crowd source",Travel,,"Alicia DeSantis, Jessie DeWitt, Lexi Mainland, Sona Patel, Josh Robinson, James Thomas, Josh Williams, Margaret Cheatham Williams",national,,,
The New York Times,52 Places to Go in 2015,http://www.nytimes.com/interactive/2015/01/11/travel/52-places-to-go-in-2015.html,1/9/2015,"interactive feature, video, static map",Travel,,"Wilson Andrews, Lindsay Blatt, Matthew Bloch, Emily Brennan, Cynthia Collins, Alicia DeSantis, Monica Drake, Simone Oliver, Dan Saltzstein, Catherine Spangler, James Thomas, Josh Williams",national,,,
The New York Times,52 Places to Go in 2016,http://www.nytimes.com/interactive/2016/01/07/travel/places-to-visit.html,1/7/2016,"interactive feature, video, static map, crowd source",Travel,,"Matthew Bloch, Phaedra Brown, Cynthia Collins, Alicia DeSantis, John Dorman, Monica Drake, Simone Oliver, Sona Patel, Justin Sablich, Dan Saltzstein, Anya Strzemien, Rumsey Taylor, Josh Williams, Margaret Cheatham Williams, Larry Buchanan, Josh Haner",national,,,
The New York Times,52 Places to Go: Readers’ Choice,http://www.nytimes.com/interactive/2016/01/07/travel/places-to-go-readers-choice.html,1/7/2016,"interactive feature, crowd source",Travel,,"Phaedra Brown, Alicia DeSantis, Ben Koski, Aaron Krolik, Kerri Macdonald, Sona Patel, Justin Sablich, Dan Saltzstein, Rumsey Taylor, Josh Williams",national,,,
The New York Times,538: Tournament Bracket and Forecast,http://www.nytimes.com/interactive/2013/03/18/sports/ncaabasketball/nate-bracket.html,3/18/2013,interactive graphic,Sports,,"Nate Silver, Tom Giratikanon",national,d3.js,,
The New York Times,984 Ways the United States Can Advance to the Next Round of the World Cup,http://www.nytimes.com/interactive/2014/06/25/upshot/984-ways-the-united-states-can-advance-to-the-next-round-of-the-world-cup.html,6/25/2014,interactive graphic,The Upshot,World Cup - 2014,"Gregor Aisch, Kevin Quealy",national,D3.js,,
The New York Times,9th Annual Year in Ideas,http://www.nytimes.com/projects/magazine/ideas/2009/#a,,,Magazine,,,national,,,
The New York Times,A 1040 Close-Up,http://www.nytimes.com/interactive/2010/02/14/business/yourtaxes/14taxes-1040.html,2/14/2010,,Business,,"Tanzina Vega, Jon Huang",national,,,
The New York Times,A 240-Year-Old Map Is Reborn,http://www.nytimes.com/interactive/2011/01/17/nyregion/20110117-map-restoration.html,1/16/2011,,NY/Metro,,"Jon Huang, Alexis Mainland",national,,,
The New York Times,A 3-D View of a Chart That Predicts The Economic Future: The Yield Curve,http://www.nytimes.com/interactive/2015/03/19/upshot/3d-yield-curve-economic-growth.html,3/18/2015,"interactive graphic, 3D",The Upshot,,"Gregor Aisch, Amanda Cox",national,Three.js,,
The New York Times,A Banner Year for Political Spending,http://www.nytimes.com/interactive/2010/10/26/us/politics/campaign-fundraising-roundup.html,,,Politics,,"Ford Fessenden, Shan Carter",national,,,
The New York Times,A Brand New World In Which Men Ruled,http://www.nytimes.com/interactive/2014/12/23/us/gender-gaps-stanford-94.html,12/22/2014,"interactive presentation, static graphic",National,,Rodrigo De Benito Sanz,national,,,
The New York Times,A Broader Look at the War Across Syria,http://www.nytimes.com/interactive/2013/08/30/world/middleeast/A-Broader-Look-at-the-War-Across-Syria.html,8/30/2013,"interactive feature, video, map",International,Syria,"Sergio Peçanha, Timothy Wallace, Liam Stack, David Furst, Cornelius Schmid",national,,,
The New York Times,A Century of Cicadas,http://www.nytimes.com/interactive/science/a-century-of-cicadas.html,5/9/2013,"interactive graphic, interactive map, timeline",Science,,Jonathan Corum,national,,,
The New York Times,A Century of Proust,http://www.nytimes.com/interactive/2013/05/02/books/proust-project.html,5/2/2013,interactive presentation,Arts,,,national,,,
