Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
Al Jazeera America,Voting's 'impending crisis',http://america.aljazeera.com/multimedia/2014/9/voting-s-impendingcrisis.html,9/15/2014,"interactive presentation, interactive map, database, static graphic",,,Michael Keller,international,,,
Al Jazeera America,Listen to Ferguson: Portraits,http://projects.aljazeera.com/2014/ferguson-elections/,10/28/2014,"interactive feature, audio",,,Jamie Tarabay,international,,,
Al Jazeera America,Ferguson talks politics,http://projects.aljazeera.com/2014/ferguson-elections/audio-stories.html,10/28/2014,"interactive feature, audio",,,Jamie Tarabay,international,,,
Al Jazeera America,Jim Crow Returns,http://projects.aljazeera.com/2014/double-voters/index.html,10/29/2014,"interactive presentation, documents, static graphic, table",,,"Alex Newman, Steve Melendez, Tate Strickland, John Thomason, Lam Thuy Vo",international,,,
Al Jazeera America,In the path of the pipeline,http://projects.aljazeera.com/2014/pipeline-politics/south-dakota-pipeline.html,10/30/2014,,,,,international,,,
Al Jazeera America,Plains Bedfellows,http://projects.aljazeera.com/2014/pipeline-politics/south-dakota-pipeline.html,10/31/2014,"interactive presentation, slide show",,,,international,,,
Al Jazeera America,NYPD misconduct claims at record highs,http://america.aljazeera.com/articles/2014/12/9/nypd-misconduct-claimsatalltimehighs.html,12/9/2014,interactive graphic,,,Michael Keller,international,,,
Al Jazeera America,Holiday shopping? How much do data breach notification laws protect?,http://america.aljazeera.com/multimedia/2014/12/to-catch-a-breachhowmuchdodatabreachnotificationlawsprotect.html,12/1/2014,interactive map,,,Michael Keller,international,,,
Al Jazeera America,Star Wars Desert Rave in Tunisia,http://projects.aljazeera.com/2015/02/star-wars-tunisia/,2/28/2015,"interactive presentation, slide show, pan",,,Joanna S. Kao,international,,,
Al Jazeera,What's left of Syria?,http://www.aljazeera.com/indepth/interactive/2015/03/left-syria-150317133753354.html,3/17/2015,interactive feature,,,"Diana Al Rifai, Mohammed Haddad",international,,,
