Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
ABC News,Japan Earthquake: before and after,http://www.abc.net.au/news/specials/japan-quake-2011/,,,,,Andrew Kesper,national,,,
ABC News,Pluto comes into focus,http://www.abc.net.au/news/2015-07-09/pluto-comes-into-focus/6566818,7/9/2015,"interactive presentation, timeline, video",,,"Ben Spraggon, Ash Kyd, Colin Gourlay",national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arizona Daily Star,"Liens and foreclosures, broken down by company",http://azstarnet.com/app/maps/foreclosures/,,interactive map,,,,national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arizona Central,Yarnell Hill Fire: Remembering the fallen firefighters,http://www.azcentral.com/news/free/20130701yarnell-hill-fire-firefighters-names.html,7/2/2013,interactive feature,,,,national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ProPublica,Dollars for Docs | How Industry Dollars Reach Your Doctors,http://projects.propublica.org/docdollars/,,database,,,"Dan Nguyen, Charles Ornstein, Tracy Weber",national,,http://www.propublica.org/article/about-our-pharma-data,
ProPublica,Dollars for Docs | How the Heart Rhythm Society Sells Access,http://www.propublica.org/special/heart-rhythm-convention-ads,5/5/2011,,,,"Dan Nguyen, Nicolas Rapp",national,,http://www.propublica.org/nerds/item/heart-of-nerd-darkness-why-dollars-for-docs-was-so-difficult,
ProPublica,What Health Care Reform Means,http://www.propublica.org/article/what-health-care-reform-means-all,6/25/2010,gallery,,,Dan Nguyen,national,,,
ProPublica,Eye on The Bailout | The State of the Bailout (Scorecard),http://projects.propublica.org/bailout/main/summary,,,,,,national,,,
ProPublica,Eye on The Bailout | The State of the Government's Loan Modification Program,http://projects.propublica.org/bailout/loan_mods/list,,table,,,,national,,,
ProPublica,Which Banks Got Emergency Loans from the Fed During the Financial Meltdown?,http://projects.propublica.org/tables/treasury-facilities-loans,12/1/2010,,,,"Karen Weise, Dan Nguyen",national,,,
ProPublica,Brilliant Disguise - Rep. Dutch Ruppersberger and ATK at the Springsteen Concert,http://www.propublica.org/special/congress-skyboxes-flasha,4/16/2010,,,,Dan Nguyen,national,flash,,
ProPublica,The K Street Band,http://www.propublica.org/special/congress-skyboxes-fundraising-at-verizon-center,4/16/2010,,,,Dan Nguyen,national,flash,,
ProPublica,Highway Stimulus Contractor Database,http://projects.propublica.org/contracts/,,database,,,,national,,,
ProPublica,Nursing Homes and Hospitals Where Dr. Michael Reinstein Sees Patients,http://www.propublica.org/special/map-dr.-michael-reinsteins-affiliations,11/10/2009,interactive map,,,Christina Jewett and Dan Nguyen,national,,,
ProPublica,Leadership PACs: Lookup Your Congressmember's LPAC Money,http://projects.propublica.org/lpacs/,9/24/2009,database,,,"Jennifer LaFleur, Marcus Stern, and Dan Nguyen",national,,,
ProPublica,Performance by Mortgage Servicers Through December 2009,http://www.propublica.org/special/chart-performance-by-mortgage-servicers-through-december-2009,1/15/2010,static graphic,,,Paul Kiel and Dan Nguyen,national,,,
ProPublica,Timeline: Paulson “Alarmed” by GE Exec’s Disclosures,http://www.propublica.org/special/paulson-ge-timeline,2/6/2010,timeline,,,Jeff Gerth and Dan Nguyen,national,,,
ProPublica,Timeline: How Contaminated Syringes Got From Factory to Patients,http://www.propublica.org/special/timeline-am2pat,6/7/2009,timeline,,,Christina Jewett and Dan Nguyen,national,,,
ProPublica,"At FDA, Fewer Inspectors Trace More Device Complaints",http://www.propublica.org/special/graphic-fda-number-adverse-reports,6/7/2009,,,,Christina Jewett and Dan Nguyen,national,,,
ProPublica,"Chart: The Picower-Madoff Transfers, from 1995-2008",http://www.propublica.org/special/picower-chart-trustee,6/23/2009,"static graphic, table",,,Dan Nguyen and Jake Bernstein,national,,,
ProPublica,Sanctioned California Nurses Database,http://projects.propublica.org/nurses/,,database,,,"Dan Nguyen, Maloy Moore, Doug Smith, Charles Ornstein and Tracy Weber",national,,,
ProPublica,The Missing Memos,http://www.propublica.org/special/missing-memos,4/16/2009,,,,Dan Nguyen and Christopher Weaver,national,,,
ProPublica,Promises Clock,http://www.propublica.org/article/promises-clock,2/9/2009,,,,Dan Nguyen,national,,,
ProPublica,ShovelWatch: How Much Your School District Stands to Lose in Stimulus Bill Construction Funds,http://www.propublica.org/article/school-construction-funding,2/11/2009,,,,Jennifer LaFleur and Dan Nguyen,national,,,
ProPublica,The Stimulus Deal: The Latest Tally,http://www.propublica.org/special/the-stimulus-deal,2/12/2009,,,,Michael Grabell,national,,,
